scenario	iter	target	outcome
whitespace-only	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
whitespace-only	1	libHSdemo-core-0.1.0.0-inplace.a	hit
whitespace-only	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
whitespace-only	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
whitespace-only	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
whitespace-only	1	libHSdemo-graph-0.1.0.0-inplace.a	miss
whitespace-only	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
whitespace-only	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
whitespace-only	1	demo-app	miss
whitespace-only	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
whitespace-only	2	libHSdemo-core-0.1.0.0-inplace.a	hit
whitespace-only	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
whitespace-only	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
whitespace-only	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
whitespace-only	2	libHSdemo-graph-0.1.0.0-inplace.a	miss
whitespace-only	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
whitespace-only	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
whitespace-only	2	demo-app	miss
whitespace-only	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
whitespace-only	3	libHSdemo-core-0.1.0.0-inplace.a	hit
whitespace-only	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
whitespace-only	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
whitespace-only	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
whitespace-only	3	libHSdemo-graph-0.1.0.0-inplace.a	miss
whitespace-only	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
whitespace-only	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
whitespace-only	3	demo-app	miss
comment-only	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
comment-only	1	libHSdemo-core-0.1.0.0-inplace.a	hit
comment-only	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
comment-only	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
comment-only	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
comment-only	1	libHSdemo-graph-0.1.0.0-inplace.a	miss
comment-only	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
comment-only	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
comment-only	1	demo-app	miss
comment-only	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
comment-only	2	libHSdemo-core-0.1.0.0-inplace.a	hit
comment-only	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
comment-only	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
comment-only	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
comment-only	2	libHSdemo-graph-0.1.0.0-inplace.a	miss
comment-only	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
comment-only	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
comment-only	2	demo-app	miss
comment-only	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
comment-only	3	libHSdemo-core-0.1.0.0-inplace.a	hit
comment-only	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
comment-only	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
comment-only	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
comment-only	3	libHSdemo-graph-0.1.0.0-inplace.a	miss
comment-only	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
comment-only	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
comment-only	3	demo-app	miss
reorder-exports	1	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
reorder-exports	1	libHSdemo-core-0.1.0.0-inplace.a	hit
reorder-exports	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
reorder-exports	1	libHSdemo-codec-0.1.0.0-inplace.a	hit
reorder-exports	1	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
reorder-exports	1	libHSdemo-graph-0.1.0.0-inplace.a	miss
reorder-exports	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
reorder-exports	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
reorder-exports	1	demo-app	miss
reorder-exports	2	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
reorder-exports	2	libHSdemo-core-0.1.0.0-inplace.a	hit
reorder-exports	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
reorder-exports	2	libHSdemo-codec-0.1.0.0-inplace.a	hit
reorder-exports	2	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
reorder-exports	2	libHSdemo-graph-0.1.0.0-inplace.a	miss
reorder-exports	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
reorder-exports	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
reorder-exports	2	demo-app	miss
reorder-exports	3	libHSdemo-core-0.1.0.0-inplace-ghc9.8.4.so	hit
reorder-exports	3	libHSdemo-core-0.1.0.0-inplace.a	hit
reorder-exports	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	hit
reorder-exports	3	libHSdemo-codec-0.1.0.0-inplace.a	hit
reorder-exports	3	libHSdemo-graph-0.1.0.0-inplace-ghc9.8.4.so	miss
reorder-exports	3	libHSdemo-graph-0.1.0.0-inplace.a	miss
reorder-exports	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
reorder-exports	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
reorder-exports	3	demo-app	miss
edit-leaf-of-mid-lib	1	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	miss
edit-leaf-of-mid-lib	1	libHSdemo-codec-0.1.0.0-inplace.a	miss
edit-leaf-of-mid-lib	1	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
edit-leaf-of-mid-lib	1	libHSdemo-engine-0.1.0.0-inplace.a	miss
edit-leaf-of-mid-lib	1	demo-app	miss
edit-leaf-of-mid-lib	2	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	miss
edit-leaf-of-mid-lib	2	libHSdemo-codec-0.1.0.0-inplace.a	miss
edit-leaf-of-mid-lib	2	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
edit-leaf-of-mid-lib	2	libHSdemo-engine-0.1.0.0-inplace.a	miss
edit-leaf-of-mid-lib	2	demo-app	miss
edit-leaf-of-mid-lib	3	libHSdemo-codec-0.1.0.0-inplace-ghc9.8.4.so	miss
edit-leaf-of-mid-lib	3	libHSdemo-codec-0.1.0.0-inplace.a	miss
edit-leaf-of-mid-lib	3	libHSdemo-engine-0.1.0.0-inplace-ghc9.8.4.so	miss
edit-leaf-of-mid-lib	3	libHSdemo-engine-0.1.0.0-inplace.a	miss
edit-leaf-of-mid-lib	3	demo-app	miss
